Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
43187619,00000225,false,Rx,0,1,04,00,00,00,00,00,00,00,
43188392,00000225,false,Rx,0,8,CF,09,01,00,00,00,00,00,
48251394,00000235,false,Rx,0,1,05,00,00,00,00,00,00,00,
48252061,00000235,false,Rx,0,8,CF,0A,00,00,00,00,00,01,
54331497,00000125,false,Rx,0,2,11,00,00,00,00,00,00,00,
57116422,00000125,false,Rx,0,2,11,20,00,00,00,00,00,00,
59947371,00000125,false,Rx,0,2,11,00,00,00,00,00,00,00,
69307552,00000135,false,Rx,0,2,11,30,00,00,00,00,00,00,
71531383,00000135,false,Rx,0,2,11,00,00,00,00,00,00,00,
74923743,00000235,false,Rx,0,1,04,00,00,00,00,00,00,00,
74924684,00000235,false,Rx,0,8,CF,09,01,00,00,00,00,01,
77851924,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
77852884,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
81117810,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
81118635,00000325,false,Rx,0,8,00,00,FF,FF,00,00,00,00,
85092569,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
85093243,00000325,false,Rx,0,8,00,00,FF,FF,00,00,00,00,
85820741,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
85821479,00000325,false,Rx,0,8,00,00,01,00,00,00,00,00,
87924839,00000225,false,Rx,0,1,01,00,00,00,00,00,00,00,
87925440,00000325,false,Rx,0,8,00,00,FF,FF,00,00,00,00,
91989234,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
91989987,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
95087649,00000235,false,Rx,0,1,01,00,00,00,00,00,00,00,
95088517,00000335,false,Rx,0,8,00,00,00,00,00,00,00,01,
