Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1127826,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1128069,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1128258,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1177826,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1178083,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1178116,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1178485,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1227798,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1227997,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1228115,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1228349,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1277690,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1278037,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1278422,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1278479,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1327679,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1327942,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1328119,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1328546,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1378059,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1378081,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1378285,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1378317,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1427673,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1427795,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1428027,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1428257,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1477618,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1477927,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1478097,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1478322,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1527702,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1527804,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1528022,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1528253,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1577809,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1578274,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1578289,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1578299,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1627684,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1627836,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1628063,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1628310,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1677784,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1677896,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1678088,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1678313,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1727702,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1727878,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1728061,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1728289,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1777657,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1777852,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1778409,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1778605,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1827630,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1827789,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1828054,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1828247,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1877643,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1877775,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1878030,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1878258,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1927632,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1927768,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1928028,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1928263,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
1977660,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1977856,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
1978115,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
1978310,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2027634,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2027816,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2028055,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2028284,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2077664,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2077789,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2078030,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2078270,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2127646,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2127930,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2128186,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2128353,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2177576,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2177762,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2178010,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2178247,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2227656,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2227884,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2227998,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2228285,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2277625,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2277772,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2278082,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2278329,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2327573,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2327760,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2328006,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2328293,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2377657,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2377801,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2378036,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2378255,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2427756,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2427941,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2428134,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2428403,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2477602,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2477779,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2478045,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2478286,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2527735,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2528044,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2528239,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2528382,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2577644,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2577795,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2578021,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2578239,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2627608,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2627783,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2628006,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2628291,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2677639,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2677751,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2677979,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2678306,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2727526,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2727755,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2727998,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2728235,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2777668,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2777792,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2778017,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2778280,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2827569,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2827760,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2827996,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2828227,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2877547,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2877734,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2878037,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2878235,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2927571,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2927749,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2928000,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2928329,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
2977634,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2977785,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
2978077,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
2978248,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3027546,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3027918,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3028028,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3028294,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3077618,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3077748,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3077984,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3078286,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3127594,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3127701,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3127987,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3128233,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3177534,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3177761,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3177990,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3178225,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3227555,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3227717,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3227973,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3228225,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3277601,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3277727,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3277961,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3278196,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3327864,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3327899,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3328044,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3328328,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3377641,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3377711,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3378097,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3378207,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3427535,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3427717,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3427961,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3428196,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3477559,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3477719,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3477972,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3478204,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3527512,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3527701,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3527973,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3528256,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3577534,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3577691,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3577993,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3578218,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3627577,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3627741,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3628022,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3628248,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3677576,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3677761,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3677987,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3678302,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3727523,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3727702,00000324,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
3727955,00000325,false,Rx,0,8,00,00,03,00,00,00,00,00,
3728246,00000326,false,Rx,0,8,00,00,00,00,00,00,00,00,
3777524,00000323,false,Rx,0,8,00,00,FE,FF,00,00,00,00,
