I0,I1,I2,I3,I4,I5,I6
21943.000000,17650.000000,22.000000,999.000000,0.000000,0.000000,0.000000
21953.000000,17682.000000,32.000000,889.000000,0.000000,0.000000,0.000000
21963.000000,17720.000000,38.000000,699.000000,0.000000,0.000000,0.000000
21973.000000,17761.000000,41.000000,589.000000,0.000000,0.000000,0.000000
21983.000000,17800.000000,39.000000,529.000000,0.000000,0.000000,0.000000
21993.000000,17836.000000,35.000000,579.000000,0.000000,0.000000,0.000000
22003.000000,17869.000000,33.000000,659.000000,0.000000,0.000000,0.000000
22013.000000,17902.000000,34.000000,699.000000,0.000000,0.000000,0.000000
22023.000000,17936.000000,33.000000,679.000000,0.000000,0.000000,0.000000
22033.000000,17970.000000,35.000000,699.000000,0.000000,0.000000,0.000000
22043.000000,18006.000000,36.000000,659.000000,0.000000,0.000000,0.000000
22053.000000,18042.000000,36.000000,639.000000,0.000000,0.000000,0.000000
22063.000000,18078.000000,36.000000,639.000000,0.000000,0.000000,0.000000
22073.000000,18114.000000,36.000000,639.000000,0.000000,0.000000,0.000000
22083.000000,18149.000000,35.000000,639.000000,0.000000,0.000000,0.000000
22093.000000,18184.000000,35.000000,659.000000,0.000000,0.000000,0.000000
22103.000000,18219.000000,35.000000,659.000000,0.000000,0.000000,0.000000
22113.000000,18253.000000,34.000000,659.000000,0.000000,0.000000,0.000000
22123.000000,18280.000000,27.000000,679.000000,0.000000,0.000000,0.000000
22133.000000,18299.000000,19.000000,819.000000,0.000000,0.000000,0.000000
22143.000000,18311.000000,12.000000,979.000000,0.000000,0.000000,0.000000
22153.000000,18318.000000,7.000000,999.000000,0.000000,0.000000,0.000000
22163.000000,18320.000000,2.000000,999.000000,0.000000,0.000000,0.000000
22173.000000,18319.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22183.000000,18317.000000,-2.000000,999.000000,0.000000,0.000000,0.000000
22193.000000,18316.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22203.000000,18315.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22213.000000,18314.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22223.000000,18313.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22233.000000,18312.000000,-1.000000,999.000000,0.000000,0.000000,0.000000
22243.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22253.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22263.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22273.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22283.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22293.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22303.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22313.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22323.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22333.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22343.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22353.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22363.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22373.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22383.000000,18312.000000,0.000000,999.000000,0.000000,0.000000,0.000000
22393.000000,18316.000000,4.000000,999.000000,0.000000,0.000000,0.000000
22403.000000,18336.000000,20.000000,999.000000,0.000000,0.000000,0.000000
22413.000000,18367.000000,31.000000,929.000000,0.000000,0.000000,0.000000
22423.000000,18406.000000,38.000000,719.000000,0.000000,0.000000,0.000000
22433.000000,18448.000000,42.000000,589.000000,0.000000,0.000000,0.000000
22443.000000,18488.000000,41.000000,509.000000,0.000000,0.000000,0.000000
22453.000000,18526.000000,38.000000,539.000000,0.000000,0.000000,0.000000
22463.000000,18560.000000,34.000000,599.000000,0.000000,0.000000,0.000000
22473.000000,18594.000000,33.000000,679.000000,0.000000,0.000000,0.000000
22483.000000,18626.000000,33.000000,699.000000,0.000000,0.000000,0.000000
22493.000000,18660.000000,34.000000,699.000000,0.000000,0.000000,0.000000
22503.000000,18696.000000,35.000000,679.000000,0.000000,0.000000,0.000000
22513.000000,18731.000000,36.000000,659.000000,0.000000,0.000000,0.000000
22523.000000,18767.000000,36.000000,639.000000,0.000000,0.000000,0.000000
22533.000000,18803.000000,36.000000,639.000000,0.000000,0.000000,0.000000
22543.000000,18838.000000,35.000000,639.000000,0.000000,0.000000,0.000000
22553.000000,18873.000000,35.000000,659.000000,0.000000,0.000000,0.000000
22563.000000,18908.000000,35.000000,659.000000,0.000000,0.000000,0.000000
22573.000000,18942.000000,34.000000,659.000000,0.000000,0.000000,0.000000
22583.000000,18970.000000,28.000000,679.000000,0.000000,0.000000,0.000000
