I0,I1,I2,I3,I4,I5,I6,I7,I8
1200294.000,16.000,2080415.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200304.000,16.000,2080431.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200314.000,16.000,2080447.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200324.000,18.000,2080465.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200334.000,16.000,2080481.000,16.000,4968.000,0.000,-2.000,0.000,0.000
1200344.000,16.000,2080497.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200354.000,12.000,2080509.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200364.000,16.000,2080525.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200374.000,16.000,2080541.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200384.000,13.000,2080554.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200394.000,16.000,2080570.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200404.000,16.000,2080586.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200414.000,12.000,2080598.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200424.000,16.000,2080614.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200434.000,16.000,2080630.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200444.000,12.000,2080642.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200454.000,17.000,2080659.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200464.000,16.000,2080675.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200474.000,16.000,2080691.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200484.000,16.000,2080707.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200494.000,16.000,2080723.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200504.000,16.000,2080739.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200514.000,17.000,2080756.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200524.000,15.000,2080771.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200534.000,18.000,2080789.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200544.000,15.000,2080804.000,16.000,4968.000,0.000,-2.000,0.000,0.000
1200554.000,15.000,2080819.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200564.000,12.000,2080831.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200574.000,16.000,2080847.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200584.000,16.000,2080863.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200594.000,12.000,2080875.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200604.000,16.000,2080891.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200614.000,16.000,2080907.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200624.000,11.000,2080918.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200634.000,16.000,2080934.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200644.000,16.000,2080950.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200654.000,12.000,2080962.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200664.000,16.000,2080978.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200674.000,16.000,2080994.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200684.000,12.000,2081006.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200694.000,16.000,2081022.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200704.000,17.000,2081039.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200714.000,12.000,2081051.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200724.000,16.000,2081067.000,16.000,4536.000,0.000,-2.000,0.000,0.000
1200734.000,16.000,2081083.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200744.000,16.000,2081099.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200754.000,17.000,2081116.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200764.000,17.000,2081133.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200774.000,16.000,2081149.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200784.000,16.000,2081165.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200794.000,12.000,2081177.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200804.000,17.000,2081194.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200814.000,16.000,2081210.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200824.000,16.000,2081226.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200834.000,17.000,2081243.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200844.000,16.000,2081259.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200854.000,12.000,2081271.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200864.000,16.000,2081287.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200874.000,17.000,2081304.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200884.000,13.000,2081317.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200894.000,16.000,2081333.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200904.000,16.000,2081349.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200914.000,13.000,2081362.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200924.000,16.000,2081378.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1200934.000,16.000,2081394.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200944.000,13.000,2081407.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1200954.000,16.000,2081423.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1200964.000,16.000,2081439.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200974.000,18.000,2081457.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1200984.000,16.000,2081473.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1200994.000,16.000,2081489.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201004.000,17.000,2081506.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201014.000,16.000,2081522.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1201024.000,16.000,2081538.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201034.000,12.000,2081550.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201044.000,16.000,2081566.000,16.000,4680.000,0.000,-2.000,0.000,0.000
1201054.000,17.000,2081583.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201064.000,11.000,2081594.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1201074.000,17.000,2081611.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201084.000,16.000,2081627.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201094.000,12.000,2081639.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201104.000,16.000,2081655.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201114.000,16.000,2081671.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201124.000,13.000,2081684.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201134.000,17.000,2081701.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201144.000,16.000,2081717.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201154.000,16.000,2081733.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201164.000,16.000,2081749.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201174.000,16.000,2081765.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201184.000,12.000,2081777.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201194.000,16.000,2081793.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201204.000,16.000,2081809.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201214.000,13.000,2081822.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201224.000,16.000,2081838.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201234.000,16.000,2081854.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201244.000,13.000,2081867.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201254.000,16.000,2081883.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201264.000,16.000,2081899.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201274.000,13.000,2081912.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201284.000,17.000,2081929.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201294.000,12.000,2081941.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201304.000,17.000,2081958.000,16.000,4536.000,0.000,-2.000,0.000,0.000
1201314.000,16.000,2081974.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201324.000,17.000,2081991.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201334.000,16.000,2082007.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201344.000,17.000,2082024.000,16.000,4752.000,0.000,-2.000,0.000,0.000
1201354.000,17.000,2082041.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201364.000,16.000,2082057.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201374.000,17.000,2082074.000,16.000,4824.000,0.000,-2.000,0.000,0.000
1201384.000,12.000,2082086.000,16.000,4896.000,0.000,-2.000,0.000,0.000
1201394.000,17.000,2082103.000,16.000,4608.000,0.000,-2.000,0.000,0.000
1201404.000,16.000,2082119.000,16.000,4896.000,0.000,-2.000,0.000,0.000
