I0,I1,I2,I3,I4,I5,I6,I7,I8
27104.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27114.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27124.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27134.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27144.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27154.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27164.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27174.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27184.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27194.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27204.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27214.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27224.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27234.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27244.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27254.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27264.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27274.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27284.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27294.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27304.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27314.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27324.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27334.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27344.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27354.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27364.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27374.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27384.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27394.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27404.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27414.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27424.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27434.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27444.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27454.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27464.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27474.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27484.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27494.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27504.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27514.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27524.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27534.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27544.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27554.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27564.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27574.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27584.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27594.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27604.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27614.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27624.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27634.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27644.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27654.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27664.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27674.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27684.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27694.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27704.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27714.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27724.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27734.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27744.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27754.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27764.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27774.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27784.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27794.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27804.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27814.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27824.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27834.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27844.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27854.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27864.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27874.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27884.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
27894.000,0.000,-48546.000,16.000,7200.000,0.000,-2.000,0.000,0.000
